date,CF,FG,MA,OI,RM,SR,TA,ZC
20160705,1.06542721554,0.770107479818,1.30807000952,1.22236267953,1.75782635905,1.32947429167,1.33620322979,0.997721368959
20160706,1.03620342186,0.75424341515,1.27592947631,1.18628660627,1.69854809221,1.32622650641,1.30789897364,0.989154108415
20160707,1.03852931332,0.754639188401,1.28404793053,1.18362431597,1.7552895241,1.32501744443,1.31493950016,0.993637040814
20160708,1.06703030537,0.773861366694,1.31890659033,1.18405442752,1.72850129837,1.34167562526,1.33740983802,0.993010118115
20160711,1.10898002547,0.775378687278,1.31960048191,1.1852974784,1.72007480356,1.34481348685,1.33944893206,0.985840793634
20160712,1.08052890839,0.787188409532,1.31103681442,1.19331063148,1.70076316162,1.33845525015,1.33124228641,1.00779225275
20160713,1.06792520109,0.790704219728,1.28996434866,1.21683865204,1.75673365051,1.32800192403,1.33141744075,1.00343320972
20160714,1.05884521696,0.781020222699,1.28461094724,1.20982681291,1.76217498378,1.34606682173,1.32955144251,1.00406227439
20160715,1.05670508217,0.771629889743,1.31100138902,1.21082003719,1.81592106465,1.33938149588,1.33586440715,1.00120525307
20160718,1.06787803826,0.792753460845,1.29692503063,1.20295539835,1.79054566568,1.33392501306,1.35116772239,1.00447929236
20160719,1.06932775018,0.795171688989,1.29527413197,1.20168878968,1.76715833746,1.33553924561,1.35529944399,1.00248394646
20160720,1.06569228505,0.789659678453,1.29768777344,1.20833411343,1.75361744305,1.33891135382,1.35617289115,1.00095459437
20160721,1.08627059291,0.785237502431,1.31857813653,1.20578768367,1.77929812115,1.34797722911,1.38440300653,1.00404509244
20160722,1.10823746054,0.78903165102,1.34245086122,1.19590031377,1.83200652523,1.36515925578,1.38918345997,1.01251681821
